Country,Year,book,cinema,concert,museum,theater
Malaysia,2014,26.25,1.0,3.9166666666666665,3.1666666666666665,1.0
Malaysia,2015,29.166666666666668,1.0833333333333333,3.4166666666666665,4.25,1.1666666666666667
Malaysia,2016,28.25,1.0833333333333333,2.8333333333333335,5.083333333333333,1.0
Malaysia,2017,27.5,1.0,1.8333333333333333,4.583333333333333,0.9166666666666666
Malaysia,2018,25.833333333333332,1.1666666666666667,1.8333333333333333,4.25,0.9166666666666666
Malaysia,2019,28.083333333333332,1.3333333333333333,1.9166666666666667,4.583333333333333,1.0
Malaysia,2020,39.666666666666664,0.25,1.0833333333333333,2.6666666666666665,0.25
Malaysia,2021,67.08333333333333,0.16666666666666666,0.6666666666666666,2.0,0.08333333333333333
Malaysia,2022,67.33333333333333,0.8333333333333334,1.9166666666666667,4.916666666666667,0.5
Malaysia,2023,67.0,0.6666666666666666,2.75,4.916666666666667,0.6666666666666666
Malaysia,2024,70.5,0.25,1.9166666666666667,5.0,0.6666666666666666
Malaysia,2025,73.8,0.4,2.2,3.8,0.2
Poland,2004,29.666666666666668,35.833333333333336,8.666666666666666,13.416666666666666,29.5
Poland,2005,28.166666666666668,35.5,11.333333333333334,14.166666666666666,28.916666666666668
Poland,2006,27.666666666666668,41.666666666666664,9.25,13.5,28.416666666666668
Poland,2007,22.916666666666668,42.083333333333336,11.0,12.666666666666666,27.166666666666668
Poland,2008,19.916666666666668,43.833333333333336,10.916666666666666,11.666666666666666,26.416666666666668
Poland,2009,21.666666666666668,53.666666666666664,13.333333333333334,12.916666666666666,25.416666666666668
Poland,2010,21.5,57.083333333333336,11.75,13.25,23.75
Poland,2011,21.083333333333332,60.25,12.25,13.5,23.916666666666668
Poland,2012,20.5,56.0,11.583333333333334,12.666666666666666,21.916666666666668
Poland,2013,19.583333333333332,49.833333333333336,12.833333333333334,12.666666666666666,21.416666666666668
Poland,2014,20.083333333333332,50.583333333333336,12.166666666666666,13.75,20.75
Poland,2015,21.083333333333332,53.416666666666664,11.916666666666666,14.666666666666666,20.916666666666668
Poland,2016,19.5,54.25,11.666666666666666,13.666666666666666,19.166666666666668
Poland,2017,19.333333333333332,58.5,11.416666666666666,14.25,19.0
Poland,2018,19.833333333333332,60.666666666666664,12.5,14.083333333333334,18.166666666666668
Poland,2019,21.0,64.75,12.5,15.0,18.416666666666668
Poland,2020,23.416666666666668,27.666666666666668,6.5,11.25,9.916666666666666
Poland,2021,22.166666666666668,29.0,9.416666666666666,12.916666666666666,10.416666666666666
Poland,2022,21.75,38.25,14.75,15.583333333333334,14.916666666666666
Poland,2023,22.25,43.416666666666664,16.416666666666668,17.0,16.25
Poland,2024,20.916666666666668,41.833333333333336,18.0,18.416666666666668,16.416666666666668
Poland,2025,19.8,34.8,17.4,18.2,17.0
South Korea,2004,5.666666666666667,29.916666666666668,1.9166666666666667,4.916666666666667,1.9166666666666667
South Korea,2005,5.833333333333333,24.083333333333332,1.5833333333333333,5.25,1.5
South Korea,2006,5.5,18.833333333333332,1.0833333333333333,5.416666666666667,1.3333333333333333
South Korea,2007,4.916666666666667,18.0,1.0,4.666666666666667,1.0
South Korea,2008,4.833333333333333,18.083333333333332,1.0833333333333333,3.75,0.9166666666666666
South Korea,2009,4.833333333333333,16.0,1.6666666666666667,3.6666666666666665,1.3333333333333333
South Korea,2010,6.25,30.666666666666668,5.916666666666667,3.6666666666666665,2.0
South Korea,2011,6.166666666666667,32.083333333333336,6.75,4.416666666666667,1.25
South Korea,2012,5.916666666666667,34.416666666666664,6.5,4.416666666666667,1.25
South Korea,2013,5.166666666666667,38.083333333333336,4.75,3.8333333333333335,1.0
South Korea,2014,4.916666666666667,46.666666666666664,4.416666666666667,3.3333333333333335,1.0
South Korea,2015,4.75,55.75,3.3333333333333335,3.4166666666666665,1.0833333333333333
South Korea,2016,4.75,54.0,2.1666666666666665,2.4166666666666665,1.0
South Korea,2017,5.416666666666667,58.583333333333336,2.5,2.5833333333333335,1.0
South Korea,2018,6.0,67.66666666666667,2.5,2.5,1.0833333333333333
South Korea,2019,6.833333333333333,90.75,2.75,2.5,1.0
South Korea,2020,7.916666666666667,64.0,2.0,2.0,1.0
South Korea,2021,7.75,42.5,1.4166666666666667,1.9166666666666667,1.0
South Korea,2022,8.916666666666666,36.0,2.6666666666666665,2.75,1.0
South Korea,2023,8.166666666666666,30.0,2.6666666666666665,2.6666666666666665,1.0
South Korea,2024,8.583333333333334,24.416666666666668,2.75,2.5,1.0
South Korea,2025,9.6,25.4,3.4,3.0,1.0
Sweden,2004,21.916666666666668,32.583333333333336,5.666666666666667,20.75,14.416666666666666
Sweden,2005,22.5,35.333333333333336,6.0,18.166666666666668,13.333333333333334
Sweden,2006,21.75,43.166666666666664,4.833333333333333,15.75,12.583333333333334
Sweden,2007,21.666666666666668,37.5,5.833333333333333,15.833333333333334,11.583333333333334
Sweden,2008,23.166666666666668,37.333333333333336,5.666666666666667,14.333333333333334,10.75
Sweden,2009,23.333333333333332,47.25,6.166666666666667,15.166666666666666,10.916666666666666
Sweden,2010,23.166666666666668,42.833333333333336,6.166666666666667,15.25,9.833333333333334
Sweden,2011,24.333333333333332,46.166666666666664,6.0,14.5,9.833333333333334
