Date,concert,cinema,museum,book,theater,Country
2024-11-01,38,31,44,18,36,Japan
2024-12-01,37,38,37,18,38,Japan
2025-01-01,33,37,42,19,40,Japan
2025-02-01,35,35,45,18,39,Japan
2025-03-01,35,41,45,18,37,Japan
2025-04-01,37,43,46,18,36,Japan
2025-05-01,39,41,55,18,35,Japan
2004-01-01,1,50,13,58,28,Brazil
2004-02-01,2,43,12,65,26,Brazil
2004-03-01,1,44,16,82,34,Brazil
2004-04-01,1,43,15,100,36,Brazil
2004-05-01,2,50,16,90,36,Brazil
2004-06-01,1,43,14,85,33,Brazil
2004-07-01,2,50,13,55,33,Brazil
2004-08-01,1,37,14,79,33,Brazil
2004-09-01,1,39,16,89,32,Brazil
2004-10-01,1,41,15,82,30,Brazil
2004-11-01,1,38,14,90,29,Brazil
2004-12-01,2,36,11,55,21,Brazil
2005-01-01,1,45,11,48,24,Brazil
2005-02-01,1,36,12,58,24,Brazil
2005-03-01,2,33,14,82,28,Brazil
2005-04-01,1,35,15,90,35,Brazil
2005-05-01,1,40,14,92,31,Brazil
2005-06-01,2,33,14,88,30,Brazil
2005-07-01,2,45,12,58,32,Brazil
2005-08-01,1,32,13,79,31,Brazil
2005-09-01,1,33,15,80,31,Brazil
2005-10-01,1,39,12,74,28,Brazil
2005-11-01,2,39,12,83,27,Brazil
2005-12-01,1,37,8,57,21,Brazil
2006-01-01,1,40,9,48,22,Brazil
2006-02-01,1,33,10,58,22,Brazil
2006-03-01,2,35,14,84,31,Brazil
2006-04-01,1,37,15,80,31,Brazil
2006-05-01,1,40,14,76,30,Brazil
2006-06-01,1,35,12,75,23,Brazil
2006-07-01,1,46,13,51,30,Brazil
2006-08-01,1,32,12,68,30,Brazil
2006-09-01,1,34,12,67,30,Brazil
2006-10-01,1,34,11,62,29,Brazil
2006-11-01,1,36,11,67,29,Brazil
2006-12-01,1,29,8,43,17,Brazil
2007-01-01,1,36,11,37,24,Brazil
2007-02-01,1,34,10,48,22,Brazil
2007-03-01,1,32,10,61,31,Brazil
2007-04-01,1,35,12,65,29,Brazil
2007-05-01,1,36,11,63,30,Brazil
2007-06-01,1,34,9,68,29,Brazil
2007-07-01,1,40,9,54,28,Brazil
2007-08-01,1,30,9,63,28,Brazil
2007-09-01,1,29,10,71,28,Brazil
2007-10-01,1,32,9,60,27,Brazil
2007-11-01,1,31,9,64,26,Brazil
2007-12-01,1,31,7,44,16,Brazil
2008-01-01,1,39,8,44,18,Brazil
2008-02-01,1,34,7,55,22,Brazil
2008-03-01,1,30,9,65,27,Brazil
2008-04-01,1,30,10,71,29,Brazil
2008-05-01,1,31,9,68,29,Brazil
2008-06-01,1,32,9,71,29,Brazil
2008-07-01,1,40,9,47,27,Brazil
2008-08-01,1,29,8,70,27,Brazil
2008-09-01,1,28,9,66,28,Brazil
2008-10-01,1,30,11,61,25,Brazil
2008-11-01,1,29,8,69,25,Brazil
2008-12-01,1,34,6,53,16,Brazil
2009-01-01,1,46,8,49,20,Brazil
2009-02-01,1,35,6,59,17,Brazil
2009-03-01,1,30,8,73,25,Brazil
2009-04-01,1,38,10,80,26,Brazil
2009-05-01,1,35,14,77,27,Brazil
2009-06-01,1,32,11,73,25,Brazil
2009-07-01,1,49,9,57,24,Brazil
2009-08-01,1,28,9,67,24,Brazil
2009-09-01,1,27,9,77,25,Brazil
2009-10-01,1,31,8,69,24,Brazil
2009-11-01,1,45,7,78,23,Brazil
2009-12-01,1,40,5,57,14,Brazil
2010-01-01,2,56,6,53,17,Brazil
2010-02-01,1,37,6,61,18,Brazil
2010-03-01,2,33,8,73,23,Brazil
2010-04-01,2,43,9,78,24,Brazil
2010-05-01,2,40,8,73,25,Brazil
2010-06-01,1,35,7,69,19,Brazil
2010-07-01,1,53,7,58,22,Brazil
2010-08-01,1,36,6,78,23,Brazil
2010-09-01,1,40,8,75,22,Brazil
2010-10-01,1,51,6,66,24,Brazil
2010-11-01,1,40,6,70,23,Brazil
2010-12-01,1,35,4,52,14,Brazil
2011-01-01,2,47,5,48,16,Brazil
2011-02-01,2,37,5,60,15,Brazil
2011-03-01,1,38,6,65,18,Brazil
2011-04-01,1,40,6,69,20,Brazil
2011-05-01,1,40,6,70,20,Brazil
2011-06-01,1,40,6,65,19,Brazil
2011-07-01,2,60,6,50,20,Brazil
2011-08-01,1,41,6,64,20,Brazil
2011-09-01,1,34,6,68,21,Brazil
2011-10-01,1,36,5,57,20,Brazil
2011-11-01,1,41,5,63,18,Brazil
2011-12-01,1,36,4,48,12,Brazil
2012-01-01,1,44,5,44,15,Brazil
2012-02-01,1,36,5,52,14,Brazil
2012-03-01,1,32,6,62,20,Brazil
2012-04-01,1,44,6,66,20,Brazil
2012-05-01,1,40,6,63,19,Brazil
2012-06-01,1,41,6,56,18,Brazil
2012-07-01,1,52,6,49,18,Brazil
2012-08-01,1,33,6,66,19,Brazil
2012-09-01,1,39,6,62,19,Brazil
2012-10-01,1,39,6,59,16,Brazil
2012-11-01,1,51,5,63,16,Brazil
2012-12-01,1,39,4,52,11,Brazil
2013-01-01,1,49,5,50,12,Brazil
2013-02-01,1,37,5,56,12,Brazil
2013-03-01,1,37,6,63,18,Brazil
2013-04-01,1,35,5,70,18,Brazil
2013-05-01,1,43,6,61,17,Brazil
2013-06-01,1,44,5,62,15,Brazil
2013-07-01,1,58,6,52,15,Brazil
2013-08-01,1,39,5,67,16,Brazil
